"Título do vídeo;Editor;Dispositivo de impressão;Data de publicação;Alcance;Valor Gasto (BRL);Click-to-Play;Visualizações 10 segundos;Visualizações de 25% do vídeo;Visualizações de 50% do vídeo;Visualizações de 75% do vídeo;Visualizações de 95% do vídeo;Tempo médio assistido do vídeo;Ações;Compartilhamentos da publicação;Comentários na publicação;Envolvimento com a publicação;Reações à publicação"
"Vídeo 41;Osvaldo;Outros;42999;291;0,429596179591184;18;17;17;15;14;12;00:00:39;18;;;18;"
"Vídeo 33;Osvaldo;Desktop;42995;17662;44,7579275481048;7334;2868;2313;1858;1652;1414;00:00:09;7395;5;1;7356;16"
"Vídeo 46;Marcos;Outros;43001;0;0,0799248706216157;2;2;1;;;;00:00:07;2;;;2;"
"Vídeo 33;Osvaldo;Tablet Android;42995;1536;7,40304114132715;845;319;235;177;137;110;00:00:09;850;;1;850;4"
"Vídeo 33;Osvaldo;Smartphone Android;42995;284132;697,584270785462;109189;44923;35729;29275;24831;19033;00:00:08;110048;57;23;109835;566"
"Vídeo 33;Osvaldo;iPhone;42995;64250;236,927288348952;27683;11072;8824;7549;6561;4684;00:00:09;27848;14;11;27822;114"
"Vídeo 46;Marcos;iPod;43001;0;0,0599436529662118;7;5;3;1;1;1;00:00:13;7;;;7;"
"Vídeo 46;Marcos;Desktop;43001;21333;60,7129298459448;9920;3682;1900;946;694;616;00:00:07;9980;15;2;9976;39"
"Vídeo 46;Marcos;Smartphone Android;43001;234776;696,844965732212;105482;55284;35714;17147;12490;11424;00:00:10;107053;334;95;106845;934"
"Vídeo 46;Marcos;Tablet Android;43001;3647;14,1267208823706;2165;1066;657;253;176;159;00:00:10;2187;9;;2187;13"
"Vídeo 46;Marcos;iPhone;43001;51191;201,450636401782;25164;12370;7508;3158;2213;2025;00:00:09;25394;42;17;25372;148"
"Vídeo 56;Marcos;Outros;43006;0;0,0199812176554039;3;3;3;3;3;3;00:00:56;3;;;3;"
"Vídeo 46;Marcos;iPad;43001;5055;26,7248786141027;3157;1501;826;264;175;157;00:00:10;3174;4;1;3174;12"
"Vídeo 56;Marcos;iPad;43006;3456;10,2203928307391;1865;993;936;590;444;381;00:00:15;1870;2;;1870;3"
"Vídeo 56;Marcos;Smartphone Android;43006;496197;754,161088576738;284866;159698;149201;99957;77605;66586;00:00:13;287392;629;232;287129;1402"
"Vídeo 56;Marcos;Tablet Android;43006;3584;6,76364217635423;2757;1483;1354;853;645;558;00:00:14;2778;8;;2774;9"
"Vídeo 56;Marcos;Desktop;43006;12494;15,2356784622455;6109;2569;2269;1489;1148;1034;00:00:10;6131;7;1;6124;7"
"Vídeo 56;Marcos;iPod;43006;0;0,0399624353108078;7;4;4;2;2;1;00:00:23;7;;;7;"
"Vídeo 56;Marcos;iPhone;43006;88693;213,559254300957;45158;26739;25420;17521;13897;11861;00:00:13;45556;91;67;45517;201"
"Vídeo 45;Osvaldo;Outros;43001;0;0,00999060882770196;;;;;;;00:00:00;0;;;;"
"Vídeo 45;Osvaldo;Tablet Android;43001;3200;8,53197993885748;2598;1256;1061;571;362;270;00:00:12;2602;2;;2602;2"
"Vídeo 45;Osvaldo;Smartphone Android;43001;350876;763,652166963055;226222;102089;84406;43361;27401;19525;00:00:10;227253;168;23;227157;744"
"Vídeo 45;Osvaldo;iPod;43001;0;0,0499530441385098;4;1;;;;;00:00:04;4;;;4;"
"Vídeo 45;Osvaldo;iPhone;43001;57722;183,847183647372;37447;15863;13251;6565;4093;2718;00:00:09;37545;13;6;37531;65"
"Vídeo 45;Osvaldo;Desktop;43001;17918;30,4913381421464;10765;3592;2748;1416;1032;812;00:00:08;10793;4;;10790;21"
"Vídeo 45;Osvaldo;iPad;43001;2880;13,4173876556037;2061;880;731;363;200;141;00:00:10;2065;1;;2065;3"
"Vídeo 54;Luiz;iPod;43005;0;0,0499540422811014;8;3;3;3;3;3;00:00:12;8;;;8;"
"Vídeo 41;Osvaldo;iPad;42999;1408;6,06429955841509;679;333;294;251;200;181;00:00:13;684;;;682;3"
"Vídeo 43;Osvaldo;iPod;43000;0;0,0799264676497622;7;6;5;5;5;2;00:00:23;7;;;7;"
"Vídeo 43;Osvaldo;Desktop;43000;37030;124,545418215242;16084;5315;3148;2109;1725;1191;00:00:07;16337;36;10;16317;169"
